"등록일","시도","시군구","업종","축종","영업상태","개소","규모","동수"
20180401,"경상남도","경상남도 의령군","가축사육업                    ","사슴","정상",1,400,1
20180401,"경상북도","경상북도 울진군","가축사육업                    ","돼지","말소",1,37.5,1
20180401,"전라북도","전라북도 군산시","가축사육업                    ","사슴","정상",1,398.74,3
20180401,"충청남도","충청남도 천안시","가축사육업                    ","면양","정상",1,600,2
20180401,"경상북도","경상북도 예천군","가축사육업                    ","메추리","정상",1,7227.04,11
20180401,"경상북도","경상북도 청도군","가축사육업                    ","사슴","정상",3,350,3
20180401,"전라남도","전라남도 장성군","가축사육업                    ","산란계","말소",1,1774.08,1
20180401,"경기도","경기도 용인시","가축사육업                    ","젖소","말소",1,235,2
20180401,"전라남도","전라남도 강진군","가축사육업                    ","꿩","정상",1,90,1
20180401,"강원도","강원도 강릉시","가축사육업                    ","염소","폐업",1,10,1
20180401,"경상남도","경상남도 의령군","가축사육업                    ","육계","폐업",2,3163.12,6
20180401,"대구광역시","대구광역시 달성군","가축사육업                    ","산란계","말소",1,514,2
20180401,"경상북도","경상북도 군위군","가축사육업                    ","젖소","휴업",1,727.1,6
20180401,"경상북도","경상북도 경산시","가축사육업                    ","산란계","휴업",1,154,1
20180401,"경상북도","경상북도 안동시","가축사육업                    ","오리","정상",2,5290.6,18
20180401,"전라북도","전라북도 군산시","가축사육업                    ","면양","정상",1,250,1
20180401,"경상북도","경상북도 울진군","가축사육업                    ","염소","정상",3,346.88,3
20180401,"전라남도","전라남도 진도군","가축사육업                    ","산란계","정상",4,914.16,4
20180401,"강원도","강원도 인제군","가축사육업                    ","젖소","폐업",1,720,3
20180401,"경기도","경기도 구리시","가축사육업                    ","젖소","폐업",3,2364.18,9
20180401,"경상북도","경상북도 경산시","가축사육업                    ","육우","말소",2,688,4
20180401,"제주특별자치도","제주특별자치도 서귀포시","가축사육업                    ","돼지","휴업",1,797.85,3
20180401,"경상북도","경상북도 상주시","가축사육업                    ","육우","폐업",6,3819.29,14
20180401,"대전광역시","대전광역시 서구","가축사육업                    ","돼지","정상",2,1485.92,4
20180401,"경기도","경기도 의왕시","가축사육업                    ","젖소","폐업",3,2711.96,12
20180401,"전라남도","전라남도 신안군","가축사육업                    ","오리","폐업",1,664,4
20180401,"광주광역시","광주광역시 남구","가축사육업                    ","한우","휴업",2,150,2
20180401,"경기도","경기도 여주시","가축사육업                    ","오리","행정처분",1,5181,7
20180401,"경기도","경기도 가평군","가축사육업                    ","육계","말소",9,8376.2,30
20180401,"전라남도","전라남도 담양군","가축사육업                    ","꿩","정상",2,1876.2,5
20180401,"전라남도","전라남도 순천시","가축사육업                    ","육우","폐업",1,1046,5
20180401,"울산광역시","울산광역시 북구","가축사육업                    ","꿩","정상",1,251,2
20180401,"경상남도","경상남도 하동군","가축사육업                    ","면양","정상",1,448,1
20180401,"세종특별자치시","세종특별자치시","가축사육업                    "," ","정상",1,36,1
20180401,"충청남도","충청남도 공주시","가축사육업                    ","육우","폐업",1,584,2
20180401,"충청남도","충청남도 보령시","가축사육업                    ","오리","정상",2,1691.7,4
20180401,"경기도","경기도 양주시","가축사육업                    ","오리","휴업",1,1816,7
20180401,"경기도","경기도 연천군","가축사육업                    ","돼지","말소",1,360,2
20180401,"경기도","경기도 하남시","가축사육업                    ","육우","말소",3,972.98,5
20180401,"경상남도","경상남도 함안군","가축사육업                    ","오리","말소",1,114.8,1
20180401,"경상남도","경상남도 거창군","가축사육업                    ","산양","정상",2,552.65,3
20180401,"강원도","강원도 양구군","가축사육업                    ","한우","휴업",1,330,1
20180401,"강원도","강원도 철원군","가축사육업                    ","젖소","휴업",2,3283.65,4
20180401,"전라남도","전라남도 나주시","가축사육업                    ","메추리","정상",1,555,2
20180401,"경상북도","경상북도 경주시","가축사육업                    ","산란계","말소",1,2691,4
20180401,"경상북도","경상북도 예천군","가축사육업                    ","꿩","정상",2,78,2
20180401,"전라북도","전라북도 진안군","가축사육업                    ","오리","정상",8,13244.08,36
20180401,"대구광역시","대구광역시 달성군","가축사육업                    ","메추리","정상",1,900,2
20180401,"경상북도","경상북도 영주시","가축사육업                    ","육계","폐업",4,2897.1,10
20180401,"경상북도","경상북도 경산시","가축사육업                    ","돼지","휴업",2,1170,3
20180401,"경기도","경기도 수원시","가축사육업                    ","산란계","폐업",1,1686,5
